ROWNUM;Name;AdmArea;District;Location;Longitude_WGS84;Latitude_WGS84;Material;global_id;
48;"Искусственная дорожная неровность по адресу Вильнюсская улица, дом 12";"Юго-Западный административный округ";"район Ясенево";"Вильнюсская улица, дом 12";"37.5184890079678";"55.5985182203855";"асфальт";"1711231";
49;"Искусственная дорожная неровность по адресу Воронежская улица, дом 54";"Южный административный округ";"район Орехово-Борисово Южное";"Воронежская улица, дом 54";"37.7608316184824";"55.6112209259122";"пластик";"1711238";
50;"Искусственная дорожная неровность по адресу Ореховый бульвар, дом 21";"Южный административный округ";"район Орехово-Борисово Южное";"Ореховый бульвар, дом 21";"37.7245986634872";"55.6120548840401";"пластик";"1711240";
51;"Искусственная дорожная неровность по адресу Ореховый бульвар, дом 63, корпус 1";"Южный административный округ";"район Зябликово";"Ореховый бульвар, дом 63, корпус 1";"37.7604472248807";"55.6172740322979";"пластик";"1711248";
52;"Искусственная дорожная неровность по адресу улица Красного Маяка, дом 7, корпус 1";"Южный административный округ";"район Чертаново Центральное";"улица Красного Маяка, дом 7, корпус 1";"37.5918202677663";"55.6120957195997";"пластик";"1711241";
53;"Искусственная дорожная неровность по адресу Днепропетровская улица, дом 33";"Южный административный округ";"район Чертаново Центральное";"Днепропетровская улица, дом 33";"37.5843379105073";"55.6165473051775";"пластик";"1711246";
54;"Искусственная дорожная неровность по адресу улица Красного Маяка, дом 12";"Южный административный округ";"район Чертаново Центральное";"улица Красного Маяка, дом 12";"37.5905328067926";"55.6128939730376";"асфальт";"1711242";
55;"Искусственная дорожная неровность по адресу Кировоградская улица, дом 11, строение, 2";"Южный административный округ";"район Чертаново Центральное";"Кировоградская улица, дом 11, строение 2";"37.6065697917562";"55.6167273014411";"пластик";"1711247";
56;"Искусственная дорожная неровность по адресу улица Мусы Джалиля, дом 38, корпус 1";"Южный административный округ";"район Зябликово";"улица Мусы Джалиля, дом 38, корпус 1";"37.7436976683861";"55.6175177568594";"пластик";"1711250";
57;"Искусственная дорожная неровность по адресу Ореховый проезд, дом 43А";"Южный административный округ";"район Зябликово";"Ореховый проезд, дом 43А";"37.7294605021117";"55.6149675365588";"асфальт";"1711244";
58;"Искусственная дорожная неровность по адресу улица Красного Маяка, дом 10Д";"Южный административный округ";"район Чертаново Центральное";"улица Красного Маяка, дом 10Д";"37.5918202677663";"55.6131033402806";"пластик";"1711243";
59;"Искусственная дорожная неровность по адресу Соловьиный проезд, дом 6, корпус 1";"Юго-Западный административный округ";"район Ясенево";"Соловьиный проезд, дом 6, корпус 1";"37.550785990054";"55.615632618574";"пластик";"1711245";
60;"Искусственная дорожная неровность по адресу Борисовский проезд, дом 38, корпус 1";"Южный административный округ";"район Зябликово";"Борисовский проезд, дом 38, корпус 1";"37.7282444554065";"55.6173310496784";"пластик";"1711249";
61;"Искусственная дорожная неровность по адресу Днепропетровская улица, дом 5";"Южный административный округ";"район Чертаново Центральное";"Днепропетровская улица, дом 5";"37.6020559110654";"55.6225038629776";"пластик";"1711254";
62;"Искусственная дорожная неровность по адресу Кустанайская улица, дом 6";"Южный административный округ";"район Зябликово";"Кустанайская улица, дом 6";"37.7533935176242";"55.6195133191597";"пластик";"1711251";
63;"Искусственная дорожная неровность по адресу улица Вавилова, дом 86";"Юго-Западный административный округ";"Ломоносовский район";"улица Вавилова, дом 86";"37.5414762133688";"55.6767339470019";"пластик";"1711260";
64;"Искусственная дорожная неровность по адресу Днепропетровская улица, дом 25А";"Южный административный округ";"район Чертаново Центральное";"Днепропетровская улица, дом 25А";"37.5840204045634";"55.6202469102815";"пластик";"1711252";
65;"Искусственная дорожная неровность по адресу Севанская улица, дом 6";"Южный административный округ";"район Царицыно";"Севанская улица, дом 6";"37.6621197898377";"55.6211346443146";"пластик";"1711253";
