ROWNUM;NAME;ADDRESS;X;Y;OPLATA;MESTO;VHOD;VNUTR;UNIVERS_USLUGA;GLOBALID;
2120;"Школа";"Захарова маршала ул. 8 корп.1 стр. ЦО ""ЦАРИЦИНО""";"37,701994";"55,623487";"Карты";"Школа";"Нет";"Да";"Нет";"90838219";
2121;"Организация";"Госпитальная ул. 6 корп. стр.2 ДСЗН, ГУ КЦСО Лефортово";"37,693746";"55,76841";"Карты";"Организация";"Нет";"Да";"Нет";"90838220";
2122;"Больница";"Госпитальная пл. 2 корп.15 стр. 29 больница, 15 корп., 1 этаж";"37,702171";"55,768193";"Карты";"Больница";"Да";"Нет";"Да";"90838221";
2123;"Больница";"Потешная ул. 3 корп. стр.";"37,699523";"55,800324";"Карты";"Больница";"Нет";"Нет";"Нет";"90838222";
2124;"Больница";"Потешная ул. 3 корп. стр.";"37,699552";"55,80026";"Карты";"Больница";"Нет";"Нет";"Нет";"90838223";
2125;"Больница";"Потешная ул. 3 корп.10 стр. 7 эт.";"37,699527";"55,800275";"Карты";"Больница";"Да";"Нет";"Да";"90838224";
2126;"Школа";"Шепелюгинская ул. 21 корп. стр. Школа 416";"37,703416";"55,745135";"Карты";"Школа";"Нет";"Да";"Нет";"90838225";
2127;"Больница";"Стартовая ул. 4 корп. стр. госпиталь ветеранов, 1 эт.";"37,70364";"55,887428";"Карты";"Больница";"Нет";"Да";"Нет";"90838226";
2128;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 8 эт. сектор4";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838227";
2129;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 9 эт.,сектор 4";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838228";
2130;"Больница";"Стартовая ул. 4 корп. стр. госпиталь, 10 эт., сектор 2";"37,703573";"55,88821";"Карты";"Больница";"Нет";"Да";"Нет";"90838229";
